,姓名,绩点,第1次课,第2次课,第3次课,第4次课,第5次课,第6次课,第7次课,第8次课,第9次课,第10次课,第11次课,第12次课,第13次课,第14次课,第15次课,第16次课,第17次课,第18次课,第19次课,第20次课
32,冯丽华,1.921626,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
33,刘静,2.606648,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
34,萧磊,2.057460,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
35,刘玉梅,1.307597,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
36,王峰,3.030237,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
37,张晶,1.414622,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
38,朱玲,3.338528,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
39,高平,1.123226,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
40,杨金凤,3.338325,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
41,黄小红,3.665383,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
42,杨秀华,3.702970,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
43,杨建平,2.376640,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
44,石阳,2.613473,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0
45,潘俊,0.763539,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
46,郭英,2.354128,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
47,林凤英,3.271131,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
48,王玉梅,2.824610,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
49,蔡杰,3.388463,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
50,李柳,1.803643,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
51,安龙,2.601861,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
52,韩建华,2.937659,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1
53,李龙,3.406806,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
54,张鑫,3.512140,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
55,范建国,3.670436,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
56,刘建国,3.462220,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
57,萧桂芳,2.270966,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
58,崔云,2.141623,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
59,杨彬,3.487013,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
60,王丹丹,2.525283,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
61,林军,1.849826,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
62,杨坤,1.340893,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
63,王玉华,2.168396,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1
64,杨秀兰,1.484916,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
65,杨荣,1.527593,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
66,陈博,3.422374,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
67,曹成,3.015583,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
68,苏畅,2.210877,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1
69,张娜,3.233660,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1
70,陈健,2.364028,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
71,谭红,3.273038,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
72,林玉梅,3.346226,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
73,游杨,1.678842,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1
74,蔡秀英,2.715959,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
75,郭静,3.071246,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
76,谢燕,3.487854,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
77,陈瑞,3.383694,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
78,杨瑜,3.200198,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
79,陈淑英,3.793950,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
80,杨云,1.371696,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1
81,谢金凤,3.114760,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
82,邱岩,1.339126,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
83,杨飞,3.520030,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
84,邹倩,2.200265,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
85,王晨,2.588314,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
86,谭华,3.740365,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
87,叶辉,3.175889,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
88,朱峰,3.457638,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1
89,张桂芝,2.035713,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
