,姓名,绩点,第1次课,第2次课,第3次课,第4次课,第5次课,第6次课,第7次课,第8次课,第9次课,第10次课,第11次课,第12次课,第13次课,第14次课,第15次课,第16次课,第17次课,第18次课,第19次课,第20次课
40,李淑兰,0.506915,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
41,黄俊,2.920486,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
42,蒋坤,2.812229,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
43,张瑜,3.471120,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
44,赖彬,2.177300,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
45,汪博,2.503010,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
46,刘英,2.694797,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
47,阎玉梅,2.526407,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
48,陈桂英,3.715570,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
49,赵静,1.128834,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
50,伍晶,3.815018,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
51,叶博,3.227525,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
52,龙彬,2.473518,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
53,景楠,3.078535,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
54,易洁,2.962044,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
55,孙凤兰,1.484082,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
56,阎璐,3.139377,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
57,胡静,3.952467,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
58,孙刚,3.426552,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
59,刘萍,2.397023,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
60,任英,2.990780,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1
61,雷璐,3.313161,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
62,梁宇,3.126917,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
63,王涛,2.401677,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1
64,李晶,3.316400,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
65,庞红,3.706624,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
66,张秀梅,2.204968,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
67,牛帅,3.179733,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
68,杨秀芳,2.896980,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
69,王丹,0.688896,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
70,洪琳,3.552556,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1
71,颜洋,1.906145,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
72,萧红霞,3.315349,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
73,韩凤英,3.579039,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
74,高红梅,3.453535,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
75,彭玉梅,2.526586,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0
76,廖桂花,3.768076,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
77,古丽丽,2.007455,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1
78,樊林,1.855509,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
79,张俊,3.513808,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
80,张秀华,1.380003,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1
81,武金凤,2.315267,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
82,白彬,3.657058,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
83,侯畅,2.034616,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
84,王佳,0.751271,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
85,赵兰英,3.139941,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
86,黄莹,2.326101,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
87,吕淑兰,2.016465,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
88,李淑兰,3.879389,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
89,吴艳,1.834228,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
