,姓名,绩点,第1次课,第2次课,第3次课,第4次课,第5次课,第6次课,第7次课,第8次课,第9次课,第10次课,第11次课,第12次课,第13次课,第14次课,第15次课,第16次课,第17次课,第18次课,第19次课,第20次课
44,刘淑兰,1.752838,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
45,郑桂英,3.314137,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
46,高倩,2.542260,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
47,曾雪,3.798408,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
48,康淑兰,2.850356,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
49,苏荣,3.726594,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
50,杜杰,3.033923,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1
51,王红梅,0.314706,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
52,鞠磊,2.956598,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
53,雷秀华,2.779017,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
54,郑小红,2.609155,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
55,龚凯,2.876383,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
56,施淑兰,3.417792,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
57,张佳,2.698855,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
58,孙婷,2.093012,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
59,何鑫,1.531092,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
60,成峰,3.338959,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
61,陈亮,1.587038,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
62,谢慧,2.704585,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
63,郑平,2.371209,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
64,贺淑华,3.811918,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
65,刘涛,2.344107,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
66,王秀芳,1.577823,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
67,孙桂芳,3.829779,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
68,曾梅,3.729373,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
69,陈梅,3.546811,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
70,黄春梅,3.555384,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
71,陈娜,3.586196,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
72,卢云,2.760982,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0
73,黄东,2.750657,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
74,陈欣,0.918821,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
75,吴秀梅,2.038949,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
76,刘柳,2.205594,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
77,张璐,2.898346,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
78,谢浩,0.575747,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
79,常旭,1.685714,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1
80,谢小红,3.916892,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
81,冼海燕,2.531566,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
82,陈金凤,2.893306,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
83,张宁,3.162833,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
84,丁凤英,2.792293,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
85,孙亮,3.578548,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
86,张丽娟,3.080533,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
87,何桂芳,1.126192,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
88,梁刚,3.435536,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
89,刘浩,3.452849,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
