,姓名,绩点,第1次课,第2次课,第3次课,第4次课,第5次课,第6次课,第7次课,第8次课,第9次课,第10次课,第11次课,第12次课,第13次课,第14次课,第15次课,第16次课,第17次课,第18次课,第19次课,第20次课
51,冯建,1.973577,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
52,柯桂英,1.473402,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
53,巴坤,1.985301,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
54,黄玉英,3.031171,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
55,沈丽丽,3.953850,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
56,黄桂英,3.229496,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
57,李桂兰,3.531027,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
58,杜龙,3.385508,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
59,洪雷,2.457462,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
60,陈淑华,3.592288,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0
61,朱文,1.707804,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
62,李小红,2.900896,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
63,薛鑫,3.448462,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1
64,汪明,2.426501,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
65,施峰,3.193346,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
66,邹秀云,3.468527,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
67,房云,3.001536,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
68,赵淑华,2.933188,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
69,王建国,2.587111,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
70,徐想,2.395382,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1
71,王华,3.375414,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
72,张丽丽,2.603969,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
73,龚晶,3.820113,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
74,赵秀梅,3.120696,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
75,宋建,1.996768,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
76,梁淑兰,1.590637,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
77,张亮,3.585526,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
78,王秀荣,2.921684,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
79,王建,2.846571,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
80,秦英,2.755546,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
81,张柳,2.645587,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
82,崔燕,2.434440,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
83,赵慧,2.975341,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
84,王慧,1.363764,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
85,任建国,3.640941,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
86,彭成,3.921849,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1
87,杜荣,2.324448,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
88,程平,1.881377,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
89,王颖,2.510152,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
